username,user_id,email,user_role,ip_region,hour,device_type,action,session_period,risk_score,risk_level,timestamp,is_weekend,is_business_hours,is_sensitive_action,is_failed_action,session_length_category
accountant_074,accountant_074,accountant_074@hospital.com,accountant,Nigeria,18,desktop,user_logout,95,0.35,medium,2025-09-07T18:34:41.867040,True,False,False,False,medium
accountant_070,accountant_070,accountant_070@hospital.com,accountant,Canada,13,desktop,page_view_financial_data,140,0.4,medium,2025-09-18T13:03:34.867040,False,True,False,False,long
manager_005,manager_005,manager_005@hospital.com,manager,Australia,7,mobile,navigate_to_admin,3,0.4,medium,2025-09-05T07:17:58.867040,False,False,False,False,short
doctor_025,doctor_025,doctor_025@hospital.com,doctor,Vietnam,6,desktop,page_view_prescriptions,119,0.4,medium,2025-09-03T06:51:04.867040,False,False,False,False,medium
manager_005,manager_005,manager_005@hospital.com,manager,Australia,1,mobile,access_audit_log,17,0.4,medium,2025-09-10T01:04:44.867040,False,False,False,False,short
doctor_026,doctor_026,doctor_026@hospital.com,doctor,India,6,mobile,page_view_prescriptions,34,0.5,high,2025-09-01T06:54:15.867040,False,False,False,False,medium
doctor_018,doctor_018,doctor_018@hospital.com,doctor,UK,4,new,user_login,52,0.45,medium,2025-09-07T04:57:42.867040,True,False,False,False,medium
contractor_060,contractor_060,contractor_060@hospital.com,contractor,Australia,21,desktop,user_login,56,0.45,medium,2025-08-31T21:10:08.867040,True,False,False,False,medium
doctor_012,doctor_012,doctor_012@hospital.com,doctor,Vietnam,14,desktop,user_logout,13,0.3,medium,2025-08-30T14:52:45.867040,True,True,False,False,short
nurse_030,nurse_030,nurse_030@hospital.com,nurse,Singapore,6,desktop,user_login,194,0.4,medium,2025-09-13T06:31:10.867040,True,False,False,False,long
nurse_031,nurse_031,nurse_031@hospital.com,nurse,UK,9,new,click_nav_medical_header,1,0.35,medium,2025-08-28T09:58:38.867040,False,True,False,False,short
employee_078,employee_078,employee_078@hospital.com,employee,Vietnam,12,mobile,page_view_dashboard,39,0.35,medium,2025-09-05T12:33:50.867040,False,True,False,False,medium
guest_093,guest_093,guest_093@hospital.com,guest,Japan,22,mobile,page_view_home,4,0.55,high,2025-09-08T22:47:43.867040,False,False,False,False,short
doctor_027,doctor_027,doctor_027@hospital.com,doctor,Nigeria,19,desktop,user_logout,72,0.3,medium,2025-09-19T19:33:18.867040,False,False,False,False,medium
nurse_033,nurse_033,nurse_033@hospital.com,nurse,Nigeria,17,mobile,user_login,5,0.25,medium,2025-08-25T17:55:21.867040,False,True,False,False,short
nurse_043,nurse_043,nurse_043@hospital.com,nurse,US,12,desktop,click_nav_medical_header,10,0.25,medium,2025-08-27T12:18:58.867040,False,True,False,False,short
nurse_037,nurse_037,nurse_037@hospital.com,nurse,Australia,18,desktop,user_logout,51,0.3,medium,2025-09-17T18:01:35.867040,False,False,False,False,medium
doctor_010,doctor_010,doctor_010@hospital.com,doctor,US,6,mobile,page_view_medical_records,4,0.3,medium,2025-08-25T06:43:59.867040,False,False,False,False,short
doctor_019,doctor_019,doctor_019@hospital.com,doctor,US,13,mobile,click_nav_medical_header,2,0.3,medium,2025-09-15T13:25:34.867040,False,True,False,False,short
accountant_074,accountant_074,accountant_074@hospital.com,accountant,Nigeria,21,desktop,page_view_financial_data,9,0.35,medium,2025-09-08T21:02:11.868041,False,False,False,False,short
doctor_022,doctor_022,doctor_022@hospital.com,doctor,Vietnam,11,tablet,user_logout,12,0.4,medium,2025-09-06T11:46:26.868041,True,True,False,False,short
nurse_037,nurse_037,nurse_037@hospital.com,nurse,Australia,1,desktop,click_nav_medical_header,59,0.3,medium,2025-09-13T01:03:28.868041,True,False,False,False,medium
doctor_026,doctor_026,doctor_026@hospital.com,doctor,US,17,mobile,page_view_prescriptions,8,0.35,medium,2025-08-21T17:19:08.868041,False,True,False,False,short
employee_089,employee_089,employee_089@hospital.com,employee,US,11,desktop,user_logout,55,0.35,medium,2025-08-25T11:46:47.868041,False,True,False,False,medium
doctor_010,doctor_010,doctor_010@hospital.com,doctor,US,23,mobile,access_patient_record,99,0.3,medium,2025-09-07T23:28:26.868041,True,False,False,False,medium
guest_100,guest_100,guest_100@hospital.com,guest,Nigeria,17,desktop,page_view_home,4,0.45,medium,2025-09-09T17:10:55.868041,False,True,False,False,short
doctor_025,doctor_025,doctor_025@hospital.com,doctor,France,5,desktop,access_patient_record,17,0.5,high,2025-09-03T05:54:51.868041,False,False,False,False,short
doctor_012,doctor_012,doctor_012@hospital.com,doctor,Vietnam,10,desktop,user_logout,14,0.3,medium,2025-08-23T10:17:10.868041,True,True,False,False,short
employee_088,employee_088,employee_088@hospital.com,employee,Germany,14,mobile,user_login,93,0.45,medium,2025-08-27T14:14:33.868041,False,True,False,False,medium
contractor_061,contractor_061,contractor_061@hospital.com,contractor,Germany,5,tablet,suspicious_activity_detected,6,0.8,critical,2025-09-09T05:30:58.868041,False,False,False,False,short
employee_087,employee_087,employee_087@hospital.com,employee,Singapore,16,mobile,page_view_dashboard,31,0.4,medium,2025-08-27T16:14:13.868041,False,True,False,False,medium
nurse_057,nurse_057,nurse_057@hospital.com,nurse,US,20,desktop,user_login,24,0.4,medium,2025-09-06T20:30:31.868041,True,False,False,False,short
nurse_053,nurse_053,nurse_053@hospital.com,nurse,Canada,20,desktop,access_patient_record,6,0.45,medium,2025-09-14T20:57:52.868041,True,False,False,False,short
nurse_049,nurse_049,nurse_049@hospital.com,nurse,Nigeria,22,desktop,user_login,5,0.35,medium,2025-08-24T22:37:49.868041,True,False,False,False,short
accountant_067,accountant_067,accountant_067@hospital.com,accountant,Canada,23,new,failed_login_attempt,12,0.7,high,2025-09-16T23:49:50.868041,False,False,False,True,short
contractor_060,contractor_060,contractor_060@hospital.com,contractor,Australia,6,desktop,user_logout,20,0.45,medium,2025-08-31T06:21:00.868041,True,False,False,False,short
employee_078,employee_078,employee_078@hospital.com,employee,Brazil,20,mobile,page_view_home,161,0.5,high,2025-08-27T20:41:17.868041,False,False,False,False,long
nurse_054,nurse_054,nurse_054@hospital.com,nurse,Australia,2,desktop,page_view_prescriptions,10,0.35,medium,2025-09-08T02:27:47.868041,False,False,False,False,short
accountant_066,accountant_066,accountant_066@hospital.com,accountant,Canada,10,mobile,access_financial_report,41,0.35,medium,2025-08-31T10:34:35.868041,True,True,False,False,medium
nurse_049,nurse_049,nurse_049@hospital.com,nurse,Nigeria,14,desktop,user_login,93,0.3,medium,2025-09-15T14:56:34.868041,False,True,False,False,medium
nurse_056,nurse_056,nurse_056@hospital.com,nurse,UK,17,known,page_view_prescriptions,21,0.3,medium,2025-09-14T17:05:12.868041,True,True,False,False,short
contractor_060,contractor_060,contractor_060@hospital.com,contractor,Australia,3,desktop,user_logout,36,0.45,medium,2025-09-04T03:58:17.868041,False,False,False,False,medium
contractor_065,contractor_065,contractor_065@hospital.com,contractor,Vietnam,20,desktop,page_view_financial_data,8,0.5,high,2025-09-14T20:41:56.868041,True,False,False,False,short
nurse_032,nurse_032,nurse_032@hospital.com,nurse,US,15,desktop,page_view_prescriptions,71,0.3,medium,2025-09-09T15:12:16.868041,False,True,False,False,medium
nurse_046,nurse_046,nurse_046@hospital.com,nurse,Nigeria,4,desktop,user_login,36,0.45,medium,2025-09-01T04:03:15.868041,False,False,False,False,medium
accountant_066,accountant_066,accountant_066@hospital.com,accountant,Canada,6,mobile,user_logout,4,0.4,medium,2025-09-01T06:06:49.868041,False,False,False,False,short
accountant_066,accountant_066,accountant_066@hospital.com,accountant,Australia,0,mobile,page_view_financial_data,148,0.5,high,2025-09-12T00:58:01.868041,False,False,False,False,long
doctor_017,doctor_017,doctor_017@hospital.com,doctor,UK,5,desktop,page_view_medical_records,30,0.35,medium,2025-09-09T05:57:34.868041,False,False,False,False,medium
nurse_041,nurse_041,nurse_041@hospital.com,nurse,Nigeria,10,new,user_login,142,0.35,medium,2025-09-10T10:01:29.868041,False,True,False,False,long
nurse_031,nurse_031,nurse_031@hospital.com,nurse,UK,21,desktop,user_login,50,0.3,medium,2025-09-12T21:10:31.868041,False,False,False,False,medium
nurse_032,nurse_032,nurse_032@hospital.com,nurse,US,23,known,user_logout,41,0.45,medium,2025-09-03T23:23:15.868041,False,False,False,False,medium
nurse_045,nurse_045,nurse_045@hospital.com,nurse,UK,18,desktop,user_login,23,0.35,medium,2025-08-21T18:36:49.868041,False,False,False,False,short
doctor_025,doctor_025,doctor_025@hospital.com,doctor,Vietnam,4,desktop,click_nav_medical_header,20,0.4,medium,2025-09-03T04:42:27.868041,False,False,False,False,short
guest_096,guest_096,guest_096@hospital.com,guest,Australia,16,mobile,user_login,26,0.55,high,2025-08-31T16:14:50.868041,True,True,False,False,short
nurse_048,nurse_048,nurse_048@hospital.com,nurse,Canada,7,mobile,access_patient_record,27,0.35,medium,2025-09-14T07:36:11.868041,True,False,False,False,short
nurse_032,nurse_032,nurse_032@hospital.com,nurse,Australia,22,desktop,click_nav_medical_header,26,0.45,medium,2025-09-12T22:36:59.868041,False,False,False,False,short
nurse_040,nurse_040,nurse_040@hospital.com,nurse,UK,19,desktop,access_patient_record,8,0.25,medium,2025-09-01T19:19:25.868041,False,False,False,False,short
doctor_023,doctor_023,doctor_023@hospital.com,doctor,Nigeria,5,known,page_view_prescriptions,106,0.4,medium,2025-09-08T05:48:28.868041,False,False,False,False,medium
employee_082,employee_082,employee_082@hospital.com,employee,US,9,desktop,user_logout,4,0.4,medium,2025-09-09T09:56:01.868041,False,True,False,False,short
contractor_060,contractor_060,contractor_060@hospital.com,contractor,Canada,17,desktop,user_logout,59,0.5,high,2025-08-30T17:04:04.868041,True,True,False,False,medium
doctor_014,doctor_014,doctor_014@hospital.com,doctor,Vietnam,13,mobile,user_logout,11,0.35,medium,2025-09-05T13:44:17.868041,False,True,False,False,short
guest_093,guest_093,guest_093@hospital.com,guest,Canada,5,mobile,user_login,21,0.45,medium,2025-08-21T05:57:28.868041,False,False,False,False,short
employee_082,employee_082,employee_082@hospital.com,employee,Nigeria,18,desktop,user_logout,62,0.55,high,2025-09-14T18:02:41.868041,True,False,False,False,medium
doctor_026,doctor_026,doctor_026@hospital.com,doctor,US,21,mobile,user_login,23,0.4,medium,2025-08-28T21:31:44.868041,False,False,False,False,short
employee_079,employee_079,employee_079@hospital.com,employee,UK,7,desktop,page_view_dashboard,28,0.55,high,2025-09-19T07:52:04.868041,False,False,False,False,short
doctor_022,doctor_022,doctor_022@hospital.com,doctor,Vietnam,20,desktop,user_logout,37,0.35,medium,2025-09-01T20:33:32.868041,False,False,False,False,medium
manager_007,manager_007,manager_007@hospital.com,manager,US,17,mobile,user_login,34,0.4,medium,2025-09-16T17:28:39.868041,False,True,False,False,medium
accountant_067,accountant_067,accountant_067@hospital.com,accountant,Canada,7,mobile,click_nav_financial_header,30,0.45,medium,2025-08-31T07:16:40.868041,True,False,False,False,medium
accountant_071,accountant_071,accountant_071@hospital.com,accountant,US,14,mobile,click_nav_financial_header,6,0.35,medium,2025-09-13T14:22:29.868041,True,True,False,False,short
manager_003,manager_003,manager_003@hospital.com,manager,Singapore,22,desktop,page_view_admin_dashboard,14,0.45,medium,2025-08-25T22:22:44.868041,False,False,False,False,short
employee_080,employee_080,employee_080@hospital.com,employee,Vietnam,3,desktop,page_view_dashboard,78,0.4,medium,2025-08-26T03:53:57.868041,False,False,False,False,medium
doctor_018,doctor_018,doctor_018@hospital.com,doctor,UK,21,mobile,failed_login_attempt,25,0.5,high,2025-08-22T21:11:43.868816,False,False,False,True,short
doctor_016,doctor_016,doctor_016@hospital.com,doctor,Australia,11,known,unauthorized_access_attempt,13,0.6,high,2025-09-08T11:08:26.868816,False,True,False,True,short
nurse_053,nurse_053,nurse_053@hospital.com,nurse,Japan,0,desktop,user_logout,11,0.45,medium,2025-08-30T00:57:54.868816,True,False,False,False,short
manager_004,manager_004,manager_004@hospital.com,manager,Australia,15,desktop,navigate_to_admin,27,0.35,medium,2025-08-31T15:08:17.868816,True,True,False,False,short
nurse_040,nurse_040,nurse_040@hospital.com,nurse,UK,7,desktop,unauthorized_access_attempt,109,0.4,medium,2025-09-11T07:01:30.868816,False,False,False,True,medium
nurse_044,nurse_044,nurse_044@hospital.com,nurse,UK,11,mobile,click_nav_medical_header,18,0.2,low,2025-08-26T11:32:54.868816,False,True,False,False,short
nurse_036,nurse_036,nurse_036@hospital.com,nurse,Japan,12,mobile,page_view_medical_records,11,0.4,medium,2025-09-06T12:09:14.868816,True,True,False,False,short
doctor_009,doctor_009,doctor_009@hospital.com,doctor,Vietnam,5,mobile,page_view_medical_records,14,0.35,medium,2025-08-29T05:36:35.868816,False,False,False,False,short
employee_081,employee_081,employee_081@hospital.com,employee,Australia,6,mobile,page_view_dashboard,29,0.4,medium,2025-08-21T06:01:57.868816,False,False,False,False,short
nurse_033,nurse_033,nurse_033@hospital.com,nurse,Nigeria,4,mobile,page_view_medical_records,42,0.3,medium,2025-09-11T04:37:05.868816,False,False,False,False,medium
accountant_074,accountant_074,accountant_074@hospital.com,accountant,US,15,desktop,access_financial_report,32,0.4,medium,2025-08-24T15:23:33.868816,True,True,False,False,medium
nurse_041,nurse_041,nurse_041@hospital.com,nurse,Nigeria,23,desktop,user_login,12,0.3,medium,2025-09-19T23:19:49.868816,False,False,False,False,short
contractor_058,contractor_058,contractor_058@hospital.com,contractor,US,6,desktop,failed_login_attempt,8,0.6,high,2025-08-24T06:05:44.868816,True,False,False,True,short
accountant_075,accountant_075,accountant_075@hospital.com,accountant,Nigeria,11,desktop,page_view_financial_data,9,0.4,medium,2025-09-04T11:27:57.868816,False,True,False,False,short
doctor_018,doctor_018,doctor_018@hospital.com,doctor,Vietnam,21,desktop,page_view_medical_records,11,0.55,high,2025-09-08T21:24:15.868816,False,False,False,False,short
admin_001,admin_001,admin_001@hospital.com,admin,Vietnam,16,desktop,user_login,59,0.45,medium,2025-08-22T16:10:05.868816,False,True,False,False,medium
nurse_052,nurse_052,nurse_052@hospital.com,nurse,France,2,desktop,access_patient_record,8,0.45,medium,2025-08-23T02:09:35.868816,True,False,False,False,short
nurse_043,nurse_043,nurse_043@hospital.com,nurse,US,15,desktop,page_view_prescriptions,31,0.25,medium,2025-09-11T15:09:09.868816,False,True,False,False,medium
nurse_044,nurse_044,nurse_044@hospital.com,nurse,Vietnam,23,new,access_patient_record,31,0.45,medium,2025-09-07T23:28:32.868816,True,False,False,False,medium
nurse_041,nurse_041,nurse_041@hospital.com,nurse,Nigeria,18,desktop,page_view_prescriptions,118,0.3,medium,2025-08-23T18:51:36.868816,True,False,False,False,medium
doctor_024,doctor_024,doctor_024@hospital.com,doctor,Vietnam,15,mobile,classified_data_access,59,0.75,critical,2025-09-01T15:16:46.868816,False,True,False,False,medium
nurse_036,nurse_036,nurse_036@hospital.com,nurse,Nigeria,5,mobile,unauthorized_access_attempt,12,0.5,high,2025-09-11T05:51:37.868816,False,False,False,True,short
doctor_027,doctor_027,doctor_027@hospital.com,doctor,Nigeria,3,desktop,page_view_prescriptions,89,0.3,medium,2025-08-24T03:56:33.868816,True,False,False,False,medium
accountant_073,accountant_073,accountant_073@hospital.com,accountant,Vietnam,14,desktop,access_financial_report,26,0.3,medium,2025-09-08T14:52:26.868816,False,True,False,False,short
nurse_028,nurse_028,nurse_028@hospital.com,nurse,UK,11,mobile,user_logout,3,0.3,medium,2025-09-05T11:46:37.868816,False,True,False,False,short
doctor_014,doctor_014,doctor_014@hospital.com,doctor,Vietnam,15,mobile,user_logout,30,0.35,medium,2025-09-03T15:42:28.868816,False,True,False,False,medium
nurse_054,nurse_054,nurse_054@hospital.com,nurse,Singapore,4,desktop,page_view_medical_records,9,0.45,medium,2025-09-18T04:15:09.868816,False,False,False,False,short
nurse_056,nurse_056,nurse_056@hospital.com,nurse,UK,0,mobile,page_view_medical_records,43,0.25,medium,2025-08-29T00:45:44.868816,False,False,False,False,medium
doctor_014,doctor_014,doctor_014@hospital.com,doctor,Vietnam,10,mobile,user_logout,5,0.35,medium,2025-08-22T10:56:33.868816,False,True,False,False,short
doctor_022,doctor_022,doctor_022@hospital.com,doctor,Vietnam,2,desktop,user_login,40,0.35,medium,2025-08-28T02:10:32.868816,False,False,False,False,medium
contractor_061,contractor_061,contractor_061@hospital.com,contractor,US,10,desktop,suspicious_activity_detected,9,0.55,high,2025-09-13T10:28:53.868816,True,True,False,False,short
employee_084,employee_084,employee_084@hospital.com,employee,Vietnam,16,mobile,user_logout,19,0.35,medium,2025-09-13T16:33:59.868816,True,True,False,False,short
nurse_056,nurse_056,nurse_056@hospital.com,nurse,UK,15,mobile,access_patient_record,8,0.2,low,2025-09-12T15:48:27.868816,False,True,False,False,short
nurse_038,nurse_038,nurse_038@hospital.com,nurse,Vietnam,1,mobile,page_view_prescriptions,37,0.25,medium,2025-09-02T01:21:08.868816,False,False,False,False,medium
nurse_036,nurse_036,nurse_036@hospital.com,nurse,Japan,4,mobile,access_patient_record,51,0.45,medium,2025-09-10T04:12:11.868816,False,False,False,False,medium
employee_077,employee_077,employee_077@hospital.com,employee,Australia,19,mobile,page_view_dashboard,17,0.35,medium,2025-08-26T19:22:15.868816,False,False,False,False,short
contractor_061,contractor_061,contractor_061@hospital.com,contractor,US,20,desktop,user_login,6,0.4,medium,2025-08-31T20:47:33.868816,True,False,False,False,short
nurse_040,nurse_040,nurse_040@hospital.com,nurse,UK,15,desktop,page_view_prescriptions,10,0.2,low,2025-09-16T15:57:46.868816,False,True,False,False,short
nurse_056,nurse_056,nurse_056@hospital.com,nurse,UK,16,known,click_nav_medical_header,8,0.3,medium,2025-08-25T16:48:19.868816,False,True,False,False,short
doctor_022,doctor_022,doctor_022@hospital.com,doctor,Vietnam,13,tablet,failed_login_attempt,42,0.55,high,2025-09-04T13:03:17.868816,False,True,False,True,medium
nurse_028,nurse_028,nurse_028@hospital.com,nurse,UK,1,mobile,page_view_medical_records,27,0.35,medium,2025-08-23T01:08:53.868816,True,False,False,False,short
employee_089,employee_089,employee_089@hospital.com,employee,US,23,desktop,user_login,25,0.4,medium,2025-09-06T23:33:26.868816,True,False,False,False,short
accountant_067,accountant_067,accountant_067@hospital.com,accountant,Singapore,17,mobile,suspicious_activity_detected,26,0.7,high,2025-09-14T17:50:36.868816,True,True,False,False,short
doctor_011,doctor_011,doctor_011@hospital.com,doctor,Vietnam,23,desktop,page_view_prescriptions,19,0.3,medium,2025-08-29T23:39:39.868816,False,False,False,False,short
nurse_034,nurse_034,nurse_034@hospital.com,nurse,Nigeria,15,mobile,click_nav_medical_header,11,0.3,medium,2025-09-20T15:55:23.868816,True,True,False,False,short
accountant_075,accountant_075,accountant_075@hospital.com,accountant,France,23,desktop,user_logout,13,0.45,medium,2025-09-09T23:10:51.868816,False,False,False,False,short
nurse_057,nurse_057,nurse_057@hospital.com,nurse,Nigeria,0,desktop,page_view_prescriptions,77,0.3,medium,2025-08-22T00:42:44.868816,False,False,False,False,medium
guest_094,guest_094,guest_094@hospital.com,guest,Nigeria,16,mobile,page_view_home,28,0.5,high,2025-09-05T16:22:24.868816,False,True,False,False,short
doctor_015,doctor_015,doctor_015@hospital.com,doctor,Nigeria,23,mobile,user_logout,22,0.3,medium,2025-09-05T23:27:22.868816,False,False,False,False,short
employee_083,employee_083,employee_083@hospital.com,employee,Nigeria,18,mobile,user_login,15,0.55,high,2025-09-15T18:47:40.868816,False,False,False,False,short
contractor_061,contractor_061,contractor_061@hospital.com,contractor,US,20,desktop,user_logout,70,0.4,medium,2025-09-07T20:00:53.868816,True,False,False,False,medium
nurse_050,nurse_050,nurse_050@hospital.com,nurse,Nigeria,15,mobile,access_patient_record,13,0.3,medium,2025-09-13T15:41:16.868816,True,True,False,False,short
nurse_053,nurse_053,nurse_053@hospital.com,nurse,Nigeria,2,desktop,access_patient_record,54,0.35,medium,2025-08-30T02:10:31.868816,True,False,False,False,medium
contractor_060,contractor_060,contractor_060@hospital.com,contractor,Australia,22,desktop,user_logout,19,0.45,medium,2025-09-18T22:25:33.868816,False,False,False,False,short
guest_095,guest_095,guest_095@hospital.com,guest,UK,2,mobile,user_login,24,0.5,high,2025-08-21T02:43:58.868816,False,False,False,False,short
accountant_070,accountant_070,accountant_070@hospital.com,accountant,Nigeria,23,desktop,page_view_financial_data,21,0.35,medium,2025-09-04T23:47:56.868816,False,False,False,False,short
nurse_042,nurse_042,nurse_042@hospital.com,nurse,Australia,13,tablet,suspicious_activity_detected,57,0.55,high,2025-09-10T13:02:03.868816,False,True,False,False,medium
guest_099,guest_099,guest_099@hospital.com,guest,Nigeria,3,mobile,unauthorized_access_attempt,13,0.8,critical,2025-09-17T03:19:00.868816,False,False,False,True,short
nurse_028,nurse_028,nurse_028@hospital.com,nurse,UK,7,mobile,user_logout,13,0.35,medium,2025-08-27T07:45:38.868816,False,False,False,False,short
nurse_035,nurse_035,nurse_035@hospital.com,nurse,UK,2,desktop,page_view_medical_records,10,0.3,medium,2025-09-04T02:26:57.868816,False,False,False,False,short
nurse_039,nurse_039,nurse_039@hospital.com,nurse,Vietnam,1,mobile,page_view_prescriptions,9,0.35,medium,2025-08-28T01:14:10.868816,False,False,False,False,short
nurse_057,nurse_057,nurse_057@hospital.com,nurse,Nigeria,3,desktop,user_login,32,0.3,medium,2025-09-03T03:16:07.868816,False,False,False,False,medium
nurse_034,nurse_034,nurse_034@hospital.com,nurse,Nigeria,14,mobile,access_patient_record,34,0.3,medium,2025-08-26T14:12:19.868816,False,True,False,False,medium
nurse_039,nurse_039,nurse_039@hospital.com,nurse,Canada,1,mobile,policy_violation,24,0.45,medium,2025-09-13T01:04:05.868816,True,False,False,False,short
nurse_045,nurse_045,nurse_045@hospital.com,nurse,Nigeria,7,desktop,page_view_prescriptions,111,0.25,medium,2025-09-16T07:44:07.868816,False,False,False,False,medium
nurse_035,nurse_035,nurse_035@hospital.com,nurse,UK,19,desktop,click_nav_medical_header,24,0.3,medium,2025-08-22T19:51:10.868816,False,False,False,False,short
nurse_052,nurse_052,nurse_052@hospital.com,nurse,Brazil,19,desktop,user_login,57,0.45,medium,2025-08-31T19:33:45.868816,True,False,False,False,medium
contractor_060,contractor_060,contractor_060@hospital.com,contractor,Australia,20,desktop,access_financial_report,10,0.45,medium,2025-09-13T20:45:18.868816,True,False,False,False,short
nurse_053,nurse_053,nurse_053@hospital.com,nurse,Nigeria,15,desktop,page_view_prescriptions,24,0.3,medium,2025-09-20T15:22:06.868816,True,True,False,False,short
admin_001,admin_001,admin_001@hospital.com,admin,UK,16,desktop,page_view_dashboard,103,0.35,medium,2025-09-19T16:00:09.868816,False,True,False,False,medium
nurse_034,nurse_034,nurse_034@hospital.com,nurse,Nigeria,1,mobile,page_view_medical_records,52,0.35,medium,2025-08-24T01:38:06.868816,True,False,False,False,medium
nurse_057,nurse_057,nurse_057@hospital.com,nurse,Nigeria,2,desktop,access_patient_record,12,0.3,medium,2025-09-01T02:17:54.868816,False,False,False,False,short
guest_094,guest_094,guest_094@hospital.com,guest,Nigeria,1,mobile,page_view_home,63,0.55,high,2025-09-20T01:15:43.868816,True,False,False,False,medium
nurse_046,nurse_046,nurse_046@hospital.com,nurse,Nigeria,8,mobile,click_nav_medical_header,16,0.35,medium,2025-08-30T08:07:04.868816,True,False,False,False,short
employee_084,employee_084,employee_084@hospital.com,employee,Vietnam,23,mobile,page_view_dashboard,40,0.4,medium,2025-09-15T23:45:39.868816,False,False,False,False,medium
contractor_060,contractor_060,contractor_060@hospital.com,contractor,Canada,1,desktop,user_logout,13,0.55,high,2025-08-25T01:01:58.868816,False,False,False,False,short
nurse_036,nurse_036,nurse_036@hospital.com,nurse,France,21,mobile,user_login,20,0.45,medium,2025-08-31T21:30:10.868816,True,False,False,False,short
nurse_048,nurse_048,nurse_048@hospital.com,nurse,Canada,16,mobile,user_logout,25,0.3,medium,2025-08-24T16:43:24.868816,True,True,False,False,short
doctor_025,doctor_025,doctor_025@hospital.com,doctor,Vietnam,19,desktop,click_nav_medical_header,14,0.4,medium,2025-08-30T19:20:31.868816,True,False,False,False,short
doctor_025,doctor_025,doctor_025@hospital.com,doctor,Vietnam,4,desktop,page_view_prescriptions,39,0.4,medium,2025-09-07T04:54:22.868816,True,False,False,False,medium
nurse_050,nurse_050,nurse_050@hospital.com,nurse,Nigeria,8,mobile,user_logout,25,0.35,medium,2025-09-15T08:17:39.868816,False,False,False,False,short
guest_098,guest_098,guest_098@hospital.com,guest,Singapore,0,desktop,page_view_dashboard,6,0.65,high,2025-09-15T00:14:17.868816,False,False,False,False,short
nurse_038,nurse_038,nurse_038@hospital.com,nurse,Japan,20,mobile,user_logout,49,0.35,medium,2025-08-28T20:00:47.868816,False,False,False,False,medium
guest_099,guest_099,guest_099@hospital.com,guest,US,12,mobile,page_view_home,12,0.5,high,2025-09-16T12:09:48.868816,False,True,False,False,short
nurse_043,nurse_043,nurse_043@hospital.com,nurse,US,19,desktop,click_nav_medical_header,10,0.3,medium,2025-09-06T19:52:45.868816,True,False,False,False,short
manager_003,manager_003,manager_003@hospital.com,manager,Canada,3,desktop,page_view_admin_dashboard,13,0.35,medium,2025-09-08T03:28:44.868816,False,False,False,False,short
guest_091,guest_091,guest_091@hospital.com,guest,UK,3,known,page_view_dashboard,49,0.55,high,2025-09-04T03:52:24.868816,False,False,False,False,medium
contractor_059,contractor_059,contractor_059@hospital.com,contractor,UK,21,desktop,click_nav_financial_header,16,0.45,medium,2025-09-11T21:43:35.868816,False,False,False,False,short
nurse_044,nurse_044,nurse_044@hospital.com,nurse,UK,5,mobile,page_view_prescriptions,9,0.25,medium,2025-08-25T05:52:20.868816,False,False,False,False,short
employee_080,employee_080,employee_080@hospital.com,employee,Vietnam,2,desktop,page_view_home,19,0.4,medium,2025-08-31T02:46:04.868816,True,False,False,False,short
